JD,Phase,Flux,col4
1294.1502, 0.012381191, 0.94012904,
1294.1506, 0.012471595, 0.94002312,
1294.8059, 0.14715909, 0.94650394,
1294.8063, 0.14724949, 0.95220125,
1294.8182, 0.14968564, 0.94605726,
1294.8186, 0.14977604, 0.95385021,
1294.8223, 0.15053258, 0.94812524,
1294.8227, 0.15062061, 0.94691104,
1294.8364, 0.15343502, 0.95044082,
1294.8409, 0.15435096, 0.95182955,
1294.8461, 0.15541915, 0.95376635,
1294.8465, 0.15550955, 0.96140081,
1294.9019, 0.16689568, 0.97392774,
1294.9860, 0.18417710, 1.0020043,
1294.9910, 0.18521436, 0.98682582,
1295.0152, 0.19019133, 1.0005778,
1295.0157, 0.19028174, 0.97739953,
1295.0212, 0.19142606, 0.95953190,
1295.0217, 0.19151646, 0.99547184,
1295.0272, 0.19266079, 0.98201078,
1295.0277, 0.19275119, 0.98192757,
1295.0333, 0.19390027, 0.98692089,
1295.0337, 0.19398592, 0.99487466,
1295.0408, 0.19545617, 0.98755640,
1295.0413, 0.19554657, 0.99321282,
1295.0469, 0.19669803, 1.0057068,
1295.0473, 0.19678844, 1.0275892,
1295.0597, 0.19934116, 0.99700016,
1295.0602, 0.19943156, 0.99914974,
1295.0658, 0.20058064, 0.98934001,
1295.0662, 0.20067104, 0.99267018,
1295.8034, 0.35221172, 1.0782884,
1295.8039, 0.35230213, 1.0851656,
1295.8075, 0.35304915, 1.0816069,
1295.8080, 0.35313955, 1.0821664,
1295.8116, 0.35389609, 1.0812963,
1295.8121, 0.35398412, 1.0862755,
1295.8158, 0.35474065, 1.0890677,
1295.8162, 0.35482868, 1.0896465,
1295.8198, 0.35558284, 1.0798628,
1295.8203, 0.35567324, 1.0850685,
1295.8239, 0.35642264, 1.0756829,
1295.8244, 0.35651780, 1.0794617,
1295.8288, 0.35741946, 1.0827429,
1295.8292, 0.35750987, 1.0836877,
1295.8336, 0.35841866, 1.0859780,
1295.8341, 0.35850907, 1.0851737,
1295.8385, 0.35941549, 1.0682514,
1295.8389, 0.35950589, 1.0745311,
1295.8436, 0.36046702, 1.0874245,
1295.8441, 0.36056219, 1.0774086,
1295.8487, 0.36152094, 1.0911024,
1295.8492, 0.36161611, 1.0805237,
